,type,districttype,tags,title,text
982,written,,,Fair Districts are Municipal Boundaries,"Fair voting districts should not look like gerrymandered octopuses that are drawn based on political beliefs, partisan politics, race, ethnicity, religion, or other suspect classes.  Fair districts lines should be based on traditional community boundaries with reasonable shapes, such as county, city, and township boundaries. Drawing districts based on municipal boundaries promotes a fair-minded, neutral, and non-partisan districting plan. Let the voters chose their politicians, use municipal boundaries to draw the district lines."
983,written,,,City of Monroe: urban concerns/interests,"As a lifelong resident of Monroe County I’ve primarily lived in the City of Monroe most of my 63 years, although my earliest memories date back to a home in the lakeshore community of Woodland Beach.  Currently retired from a career in public health nursing, my passion for promoting healthy lifestyles and safe communities persists.  My community of interest are the many parks, trails and outdoor recreational opportunities in the City of Monroe and at Sterling State Park, providing means for entertainment, physical and mental well-being, and strengthening communities within our neighborhoods. With many parks situated along the River Raisin and Lake Erie shoreline, addressing environmental pollution in our waterways and air is of highest concern.   Another serious health threat beleaguering our community is the ongoing opioid crisis and far too many drug-induced fatalities each year. Additionally, while overall crime rates have reportedly decreased, violent crimes are on the rise. Situated along the I-75 corridor between Toledo and Detroit, Monroe now faces similar challenges as these two urban metropolises.  The City of Monroe and surrounding townships’ priorities in infrastructure needs and community concerns differ than our neighboring rural-agricultural communities, nor are we a “border community” like our neighbors to the south. Our current health, safety, economic and environmental challenges are very much like other small urban communities, and opportunities for economic growth are more inline with the lakeshore and Downriver communities to our north.   In essence, when drawing new district lines for State House, please consider keeping the City of Monroe and the adjacent Townships of Monroe, Frenchtown and Berlin together, possibly adding Ash, LaSalle, and Rasinvillle as needed. For State Senate and US House, please consider adding areas north in Wayne County with similar interests and needs, especially lakeshore communities and areas along I-75 and US-24.  Thank you for your time, consideration and dedication in drawing fair and transparent district lines. "
984,written,,,Competitive elections for Leelanau count,"My ideal as a Michigan voter would be a district that was competitive, in the sense that there would be a good chance that the most qualified candidate would win, rather than one in which the winner is largely pre-determined by party affiliation. Personally, I am willing to vote for the best qualified candidate from either party. I would like to feel that my choice and others who vote on the basis of qualifications would make a difference. I have the distinct impression that is not the case now for our district. With the lines as they are, the advantages of the two major parties are far from balanced. It seems to me that redrawing the lines to include some other areas (e.g. parts of Traverse City and its suburbs) would better balance the choices available to Leelanau County voters."
985,written,,ottawa,Connie Eardleys Community of Interest,"My name is Connie Eardley and I have lived in Georgetown Township, Ottawa County area for almost 45 years. This is my community of interest. My husband and I have raised 4 of our 5 children here. Those children and 3 of our 5 grandchildren have and are currently attending public schools in Jenison and Hudsonville  which are second to none.  I worship here ,volunteer here, and take advantage of our breathtakingly beautiful West Michigan lakeshore.  I strongly believe we do not need a change in districting, and I respectfully ask the commission to leave Ottawa County in tact.  Thank you for the time and effort you are putting in to this monumental task."
986,written,,,Inclusion of Hamlin Township,Please include Hamlin Township in with Ludington when redistricting. 
987,written,,,Keep Fire Districts together ,"June 8, 2021 Michigan Redistricting Commission Novi, Michigan  As a resident of Cohoctah Township, Livingston County, Michigan I am writing to indicate two communities of interest under the newly enacted redistricting requirements.  First, I would like to thank you for considering my communities of interest. As I see it, on the federal congressional district. Michigan will have 13 Congressional seats. With the Michigan population increasing, the 13 congressional districts will become bigger. I see two easy seats, the city of Detroit and a few surrounding cities, and the northern part of Michigan. The remaining 11 congressional seats will be where your work is difficult. Other requirements that you must follow will add to this difficulty.  First, I would urge you to follow municipal jurisdictional lines to create fair districts. Keep cities intact. Keep township boundary lines intact. Do not split townships into several different districts. It is imperative that these jurisdictional lines be fully recognized by the Commission. This becomes critical when drawing State Representative and State Senate districts. Keeping these municipality and township lines intact will comply with your mandate as defined in the Michigan Constitution, Article IV, Section 6 (13)(f). “Communities of interest” have a higher priority than counties, city, and township boundaries. Testimony as to “communities of interest” shows that the vast majority of comments on “communities of interest” is to respect county, city, and township boundaries. By doing this, the people have elevated this provision to a higher priority in line with “communities of interest.” This brings me to my first community of interest. I reside in Cohoctah Township, Livingston County. To the north is Shiawassee County, Burns Township. Cohoctah Township has no connection with Shiawassee County. Rather, we consider ourselves a part of the overall community of Livingston County. Our elected representatives attend meetings involving their supervisors, clerks, and treasurers with other elected representatives in the County. Our representation within the Michigan Township Association is as a part of Livingston County. Keep our township in Livingston County.  I have heard comments in past commission hearings that Livingston County should be divided along the Grand River corridor. Please do not do this. Your mandate is to keep “communities of interest” intact. To divide Livingston County in half is to create chaos and division. You have the opportunity to create fair districts that are reasonably compact. Keep to jurisdictional boundaries.  My second community of interest involves our local fire department. Cohoctah Township is a part of the Howell Area Fire Authority. This Authority is composed of the townships of Cohoctah, Howell, Oceola, Marion, and the city of Howell. To split this fire authority into two different districts for our congressional district, state representative, or state senator would be devastating to our representation. I believe that when you draw lines the fire districts and police districts are critical and must be considered as a community of interest that is meaningful. I would urge you to require your software developer for drawing maps to start entering this data so that when maps are drawn you can quarry to see if any fire departments are split up.  I would like to comment on the provision in the Michigan Constitution, Article IV, Section 6 (13)(d), which states, “Districts shall not provide a disproportionate advantage to any political party. A disproportionate advantage to a political party shall be determined using accepted measures of partisan fairness.” This provision is fraught with many legal problems and will probably result in many different lawsuits. As I view this language, you have to draw the lines in such a way as to make it as close to 50-50 based on political parties. Perhaps there are other ways to construe this language. This could result in the city of Detroit having spokes going out into the suburbs and dilute the Civil Rights Voting laws. How are you going to make the city of Detroit such that it's not disproportionate to strongly elect democrats? Likewise, how will you do the same for northern Michigan so that it's not dispropionate to republicans? Most of the comments in your hearings on “communities of interest” are against “spoke-like” districts in favor of more compact districts. Also, what are “accepted measures of partisan fairness.” I have not heard an in-depth discussion in regard to this provision. Please don’t neglect this provision and what it means to draw districts.  I don’t understand why the commission is putting all its focus on having the Michigan Supreme Court constitutionally change dates specified in the redistricting provisions of or constitution. I hope that the commission is working with our congressional representatives to get the census bureau to release final numbers before the September 30, 2021 date, so that Michigan and similarly situated states can meet their constitutionally mandated deadlines. The proposed commission dates fail to allow communities the time to challenge the numbers released by the census bureau. This will potentially result in their community being underrepresented. My understanding was the Trump administration was planning to release the census data in March 2021. The Biden administration says it needs 6 more months. This begs the question, why? Are the census members being manipulated to give one political party an advantage over another political party? Is the census bureau cooking the books so to speak? I have a feeling the State of New York will find the 86 additional residents to avoid losing a congressional representative. The only thing this delay is achieving is to give the incumbents a huge advantage.   Finally, everything the commission has done and is doing has been open and transparent. Why does your public comment section on your website not require a commenter to disclose where they live? Everything you’ve done up to this point has been great. Now all of a sudden requiring someone to disclose where they live must remain secret. Again, one has to wonder why? What is it that you want hidden from public view? (I agree with not disclosing email addresses).  Again, thank you for your time and consideration to my communities of interest and other concerns.  Sincerely, Mark Fosdick Fowlerville, MI. 48836  "
988,written,,senior citizens,In support of the MI Redistricting Comm.,"At one time, the principle of ""One Man, One Vote"" was the law. The Voting Rights Act of 1965 helped to ensure that every Citizen was included in the election process. In the recent past, the United States Supreme Court eliminated the enforcement provisions of that legislation, which weakened the effectiveness of that law. Moreover, the unchecked gerrymandering practices in several states have undermined the ""One Man, One Vote"" principle.  Hopefully, Congress will pass those Acts aimed at restoring equal rights and equal access to the voting process. Here in Michigan, we can do our part by save guarding against the gerrymandering of districts so that every vote has the same weight. "
989,written,,,Why wholly new district maps are vital,"It is vitally important that the Commission throw out all the currently existing electoral district maps and start from scratch in drawing new lines. Overall proportionality (keeping each district as close as possible to the ideal number of residents), geographical contiguity, and continuity of communities of interest are the three most important criteria, by far, in creating new districts. Though politics has become a defining factor in individual and community identity, it is equally important that ""communities of interest"" be defined in non-partisan terms, as far as is humanly possible. Our districts should reflect our shared values, and not accentuate our competitive political instincts. I was a volunteer signature gatherer for the ballot proposal that created the Michigan ICRD. I spoke with hundreds of people about the need for, and the nature of, the Commission. Many people I spoke to signed the petition; many did not. Not more than five out of the over 300 people I personally spoke with expressed a desire to keep things the way they are. The people of Michigan voted overwhelmingly for this Commission; they understood the unfair absurdity of allowing elected officials to draw the maps governing their own elections. The people of Michigan voted for change; for free and fair elections; for new electoral districts.   Thank you, members of the Commission, for you time and your hard work. This is a vitally important task if our democratic system is going to survive. "
990,written,,,Municipal Boundary Plan,"Municipal boundaries (county, city, and township boundaries) best reflect communities of interest. Municipalities best reflect and represent the needs of their residents and voters. Voters locate to and stay in municipalities based on the governance and policies of that municipality.     The US Supreme Court has ruled numerous times that using race, ethnicity, religion, and other suspect classes as the predominant factor in drawing district lines is unconstitutional and discriminatory. The US Supreme Court has been most critical of and applied the most scrutiny to using race, ethnicity, religion, and other suspect classes in drawing district lines. Using race, ethnicity, religion, and other suspect classes in drawing district lines divides our communities of interests and hurts the voters of those communities.  Drawing districts based on municipal boundaries promotes a fair-minded, neutral, and non-partisan plan in compliance with the Michigan and US Constitution. "
991,written,,,Redistricting of NW Michigan,"June 30, 2021  Dear Michigan Independent Citizens Redistricting Commission.  Thank you for taking my testimony.  As a resident of Leelanau County, it has been apparent to me that gerrymandering in Northwest Michigan has lead to the lack of equitable representation of the voters in the State Legislature.  I volunteered to collect signatures for the Voters Not Politicians group to end gerrymandering in Michigan and to make sure that our legislators are chosen by the people—to be accountable to us. Your work in making sure all voters are represented in our elections is very important and I thank you for stepping up to this task.  For the last several years, my family and I have become aware that our State Senator and State Representative are not looking out for the best interests of the people who live here but rather are deeply influenced by corporate money and corporate interests. We frequent their coffee hours (both in person and online), call their offices, and write and e-mail them frequently and provide feedback on various issues and bills that come up before the State Legislature. We feel our thoughts, opinions, experience and passions are ignored.  I encourage you to start anew and when you look at our legislative district maps, to endeavor to make it as equal and balanced so every citizen’s voice here carries equal weight.  After all, why should my voice count more than my neighbor’s voice simply because of my political party?  Aren’t we all better when we become an active member of our community? Having representation that actually understands the needs of our community and listens to how bills and legislation impacts our lives is the the best possible outcome.  In addition to the obvious geographic proximity, Leelanau County has a lot in common with the northwestern part of Grand Traverse County other ways: commerce, transportation, health care, tourism, agriculture and demographics to name a few.  When you are looking at Leelanau County, it makes sense to also look at the similar characteristics of northwest Grand Traverse County as well. And to take these factors into account in your redistricting maps.  I ,and my family, look forward to a time when government works for the people and your good work will help make that happen.  Sincerely,  Victoria Gutowski 8625 S Lakeview Road Traverse City, MI 49684 (Leelanau County, Elmwood Township) 231-421-8858 "
992,written,,,Fair redistricting,"Thank you for taking my written testimony.  This isn't hard.  Voting districts should not look like octopuses laying on top of each other, meandering through streets and neighborhoods just in order to secure a specific outcome.  Draw the maps as square/rectangle as possible, don't cut through big cities in order to weed out specific voters, and MAKE IT UNBIASED.  There.  I fixed it.  Damn.   This isn't rocket science!    Thank you for everything you are doing to address this issue.  Why we ever find ourselves in this situation is beyond me.  But you are heroes for being there, taking the time to address it.  I'll be paying attention to how the districts are redrawn."
993,written,,,Joanne Cromley - Cheboygan County Plan,"Cheboygan County is directly connected to our neighbors by both land and water, and we want to make sure our voices as a community of interest are represented properly for the next 10 years or more.  The Inland Waterway directly connects Cheboygan and Emmet counties, the Sturgeon and Pigeon River connects Cheboygan and Otsego counties.     ·       We have no hospital, so must travel to Emmet, Mackinac, or Otsego for care.  ·       As with most rural areas of Northern Michigan, broadband access is an issue  ·       Tourism is absolutely dependent upon a direct relationship with other counties.   ·       Cheboygan County residents regularly travel to Emmet and Otsego counties to purchase goods and services that are not available here  ·       Cheboygan County is similar in age and income demographics to counties like Presque Isle and Mackinac  ·       The Straits of Mackinac shoreline encompasses both Emmet and Cheboygan counties.   ·       If something were to happen to Line 5, it would be a direct disaster for Emmet, Cheboygan, Charlevoix, Mackinac, and Presque Isle counties.     ·       Our county has been divided (and not neatly) into two State House districts for the last 10 years.  It is confusing to residents, and dilutes our county vote."
994,written,,,Western Washtenaw County,"I am age 65 and I live and farm in Freedom Township. I believe that the new district boundaries should better reflect our community of interest than they do currently.  The current state senate 22nd district does not reflect the community of interest for western Washtenaw county. We have very little in common with Livingston county. I feel that Jackson county would better reflect the western Washtenaw community of interest because it also is mostly rural and in addition to the I-94 corridor, it shares in our issues and concerns, including protection of the environment and the need for increased broadband access.  The current U.S. house 7th district boundaries also do not reflect the community of interest for western Washtenaw. I see no good reason to split Washtenaw county. A more compact district encompassing more of Washtenaw county and the I-94 corridor would make more sense.    Thank you for your consideration and for your service."
995,written,,,Cass County Community of Interest,"I have lived and worked in Dowagiac and Cass County for most of my life and was happy to be able to retire here several years ago.  One of the best things about Dowagiac and Cass County is its proximity to a variety of medical, recreational, cultural, and social resources, the majority of which are located in Berrien County.  Dowagiac is a lovely town, but I do most of my major shopping in Niles, St. Joseph (MI), or Benton Harbor.  Most of our doctors and medical offices are within the Spectrum Healthcare System in Niles and St. Joseph.  We are about a 30 minute drive to the beautiful Lake Michigan.  Several Southwestern Michigan wineries are just outside of Berrien Springs and Buchanan.  Lake Michigan College is home to the Mendel Center, which provides educational, musical, and other cultural events for our enjoyment.  Most of our activities are directed to the west of us.  I believe that many of my fellow residents in Dowagiac and Cass County are similarly disposed.  Throughout the years, Cass, Berrien, and VanBuren Counties have been joined in several “Tri-County” initiatives, two of the most notable being Tri-County Headstart and MiWorks! (Berrien/Cass/VanBuren Counties).  Cass County no longer has its own county health department but is now part of the Cass VanBuren Counties Health Department.  All of these collaborations speak to a community of interest for Cass, Berrien, and VanBuren Counties.  Additionally, the Potawatomi Tribe covers Cass, Berrien, VanBuren, and Allegan Counties, not St. Joseph County, MI.  A Representative in the Michigan House who knows and appreciates these commonalities would certainly be in the best position to serve interests of the citizens of Cass County.  I supported and worked for passage of the ICRC amendment in 2018, and I am grateful that each of you has been willing to serve to make the redistricting process as fair and equitable as possible.  I know that you will be trying to balance many competing positions and that will be a difficult juggling act.  Good luck to you and thank you for your dedication and service."
996,written,,,Prison Gerrymandering,"Currently prisoners are counted in the district where they are imprisoned. This is wrong. It encourages people to imprison others. Also, when people are released, they are released to the community they came from, unless there are unusual circumstances.   Prisoners need representatives who support their interests. They should either be allowed to vote, or they should be counted in the community from which they came."
997,written,,,Livingston County,"I would respectfully request that Livingston County remain wholly independent from the surrounding counties.  Although at first blush, one would presume I'm requesting this out of political motivation, I would suggest otherwise.  Livingston County's has a unique atmosphere where the old wisdom of the farmers combines with the avante garde experiences of the younger generation.  People have relocated here to raise their families because we offer a lifestyle they cannot find otherwise.  We are not industrialized; but rather a bedroom community.   Because of that, our values and requested legislation would be different.  I was born and raised in Livingston County.  My parents and my family have worked here and dedicated our lives to serving the citizens of this County.  We have worked hard to preserve a certain manner of living that only our County offers.  Additionally, as Chief Deputy County Clerk, I have concerns of a professional nature.  In our elections division, a division of our county would require multiple ballot styles for elections, which would create unnecessary expense, hardship, and misunderstandings for the electorate.  A goal is always to have as few ballot styles as possible.  When a ballot contains more races and issues, we necessarily must go to longer ballots, which creates unnecessary expenses.   As it stands, our state representative is wholly contained in Livingston County.  They are able to come into our local Clerk's office for their filings and we are able to give them face-to-face service.  If that race were to straddle county lines, their filings would go to the Secretary of State.  It's virtually impossible for them to receive face-to-face service at their office.  On our court side, we are consistently seeing new legislation that is against the grain of values of this community.  I spend many hours each month following proposed legislation concerning courts and laws and writing to my legislators of my concerns.  Because they are local and are well aware of the values of our community, these concerns are heard - where other legislators who do not live in a community with the same values and concerns give my correspondence little attention.    If, for some reason, you were to combine a portion of our county with another, I would humbly request that you join it with Shiawassee as that county is most like ours.    Cordially,  Kristi Cox Chief Deputy County Clerk, CCM (CCE pending) Livingston County, Michigan 44th Circuit Court"
998,written,,,Districts that promote moderation,"Districts that contain approximately equal numbers of both Democratic and Republican voters would require politicians to adopt moderate positions that might appeal to both.  Also, voters in such districts would feel that they have a real possibility of electing their preferred candidate, and would be at least somewhat represented by the winning candidate."
999,written,,,"""Communities of Interest""??","The point of this Commission, and why the voters approved it, was to adjust geographical voting boundaries in a manner in which the current political party (regardless of which party) did not have an overwhelming say in the matter. It was not to come up with voting jurisdictions based on ""communities of interest"". Regardless of the intent, it smacks of political leanings, and will undermine the public confidence of this Commission. Please keep it simple. Redraw the geographical lines as needed, with the least political influence as possible. This is what the voters approved."
1000,written,,,DO the Right Thing = Every Vote Heard!,"Good Day Commission Members,  As you continue with this unique and daunting opportunity for Michigan, please keep in the back of your minds that the rules/expectations are great guidelines but some districts may NOT fit into the Glass Slipper so easily. Some districts-locations-taxpayers-VOTERS need to have full access to participating and voting for their leaders and representatives without any implicit biased regulations, laws and poll processes from our current polarized two-party system. If you literally follow all the rules and requirements of your charter to develop the new 13-district Voting Map, then I believe you will diminish numerous opportunities to ensure collaboration, discourse, effective decision-making and trust in Michigan's election process. Our current Lansing leaders, ON BOTH SIDES OF THE AISLE, are selfishly and hypocritically not moving Michigan forward to permit each of  Michigan's citizens and tax-paying guests to learn and live in achieving their OWN PATH to prosperity.  Somehow, only two parties/agendas seem to believe their red or blue paths are the only ones that will lead individuals to achieve life's successes. Be ""Braver Angels"" to develop a map that will permit full discourse, AURA, respect and trust for every Michigan voter/voice to develop, and PASS, real legislation that provides LIBERTY AND JUSTICE FOR ALL!! "
1001,written,,,Michigan’s 2CD is terribly gerrymandered,"Michigan’s 2nd Congressional District is terribly gerrymandered.  It is well known that the map is drawn to give the Republican candidate a clear advantage.  I suggest you consider the non-partisan Cook PVI for each congressional district to determine if it’s fairly drawn or not.   From Wikipedia:  “The Cook Partisan Voting Index (abbreviated CPVI or PVI) is a measurement of how strongly a United States congressional district or state leans toward the Democratic or Republican Party, compared to the nation as a whole, based on how that district or state voted in the previous two Presidential elections.”  PLEASE try to make every congressional district as balanced as possible to ensure that any party has equal opportunity to win so that the candidate with the best ideas and policy positions wins the vote…not the one with inherit bias in the boundaries of the district.  Specifically, Ottawa County voting swamps voting in most other 2CD counties this meaning “how Ottawa County goes, 2CD goes”"
1002,written,,"montague,whitehall,white lake area,muskegon county,watersheds,state house districts",Margot's corrected testimony June 29,"On June 29 in Muskegon, I presented oral testimony.  Here is my written version of it, with one correction.  In the oral one, I mistakenly said “ Congressional District” instead of “State Representative District.”  Here, without the nervousness of being at a microphone, I have made that correction. I am Margot Haynes (legal name Margaret E. Haynes) from Montague, Michigan. I would like to present three points focused on “Communities of Interest” related to State Representative redistricting. 1)	Water divides us historically, as with Montague and Whitehall—see Dan Yakes’s recent two-volume history of our area called Cross River Rivals.  But it also unites us in needing life and good health.  I support the gentleman who submitted the geological watershed map showing watershed areas of Michigan.  I believe the Commission should consider watershed connections, too, as part of communities of interest.  For example, upstream pollution from large farms can affect residents downstream near the lakeshore. 2)	County divisions are not necessarily reflective of “Communities of Interest.”  Muskegon County is drawn very strangely, as if gerrymandered itself, so the Commission should look at counties more as historical artifacts than as true communities in the present. 3)	In particular, I feel strong opposition to the current [MI State Representative] district in a backwards C which separates the White Lake Area from North Muskegon and the City of Muskegon but ties us into a far southern area of Muskegon County called Norton Shores.  Montague and Whitehall are towns of tourism and small agriculture, historically, with much in common with other lakeshore areas to the north as well as inland areas to the east, not the commercial powerhouse of Norton Shores, which is closer to Grand Haven (Ottowa County). If I had had more than two minutes, I would have added that originally White Lake was part of Oceana County, while Muskegon and south were part of Ottawa County, according to historian Dan Yakes (cited from his introduction to The History of Muskegon County in the Muskegon County Directory published by County Clerk Nancy Waters’s Office).  When the new county Muskegon County was inserted between Ottawa and Oceana counties, in 1859, Grand Haven wished to be in a different county than the city of Muskegon, which was becoming a rival to its pre-eminence.  Therefore, Muskegon City and the little towns to the north up to Montague and Whitehall were forced into a new county, Muskegon County (personal communication from Dr. Yakes on June 29, 2021).  But culturally and economically, our two small towns are very close to Oceana County, with ties of tourism and agriculture.  And we certainly have very little to do with south Muskegon County area of Norton Shores! "
1003,written,,,Linda Hrcka's Redistricting Comments,"										June 29th, 2021    To:  The Independent Citizens Redistricting Committee  I would like to make some suggestions for redistricting the state of Michigan after the 2020 census.   I belong to the 85th House district, the 24th Senate district and the 4th US congressional district.    I feel strongly about maintaining communities of interest, i.e. communities that share cultural or historic characteristics or economic interests.  Shiawassee county is primarily rural with agriculture, small business and businesses related to the automotive industry making up the largest part of the economic base.    I also believe that resdistricting should respect municipal lines, rather than roads or other divisions.   Neighborhoods, counties and townships should all be included in whole whenever possible.  I believe this is the best way to compactly define communities that are homogenous and deserving of representation.   I have been happy with the representation we have received from the current districts.  I believe that cracking should be avoided.  Each area of the state of Michigan should have equal representation in government to ensure that their interests have a voice.    Sincerely,  Linda Hrcka Resident Shiawassee County "
1004,written,,,Keep Lenawee Intact,"While the amendment to form this Commission is a step in the right direction, it's concerning that the language was not made more clear to the voters as it applies to the priorities when drawing the districts. Allowing Communities of Interest (CoI)  to supersede existing governmental boundaries (ranked 3rd and 6ht out of 7 respectively) is subversive and divisive. Additionally, from my Deputy Clerk experience, this makes voting more confusing and more costly to all citizens. Furthermore, all CoIs should be disclosed as to their commonality. I can't imagine what our sections of Lenawee have in common with the other two proposed districts.  I oppose any attempt to divide any county that falls short of the mean population index."
1005,written,,,District shapes,"Because it's much harder to gerrymander without manipulating the general geometric shape of a district, my suggestion is that, whatever the shape chosen - square, rectangle, triangle, circle - the only thing that should be changed is the size of the chosen geometric shape, to account for population density.  The current shapes are - entirely by themselves - an indictment of the political corruption of the earlier drawing of district lines, regardless of which party drew them. If lines are drawn in any other fashion, the commission should be very prepared to offer a detailed description as to why the above idea wasn't more fair. Thank you very much."
1006,written,,,Fair District Maps,"To introduce myself, my name is Kenneth Jonkman.  I was born in Michigan and have lived in Michigan 55 plus years.  I graduated with a BS in Physics and Engineering and currently am a Senior Product and Development Engineer.  I currently live in Green Oak Township, Zip code 48178, located in Livingston County. Livingston County is largely rural.  Including my community with other communities is my desires.  My views are traditional, family centric, and patriotically support our nation.  I share these values with those around me and my church community.  Livingston County is a conservation county and we do not want Livingston County to be combined with liberal municipalities. For the purpose of re-districting in the state of Michigan as the result of the 2020 census I submit the following to be considered when determining the new congressional districting. -Fair maps -Common sense approach to legislative districting -As much as possible maintain counties, cities and townships intact. -Avoid carving out sections of a distinct community and assigning those sections to adjacent districts for Congressional or state legislative purposes. -Draw district boundaries that are clearly delineated by boundaries of intact communities -Prevent small areas of a county from being incorporated into the district of another county "
1007,written,,,Fair maps,"To introduce myself, my name is Joyce Jonkman.  I have been a resident of the state of Michigan close to 50 years of my life.  I worked in Grand Rapids my early years, volunteered in the community while raising our children.  I volunteer now in women's ministry and currently live in Green Oaks Township, zip code 48178, located in Livingston County. For the purpose of re-districting in the state of Michigan as the result of the 2020 census I submit the following to be considered when determining the new congressional districting creation. Livingston County is largely rural.  Including my community with other communities is my desires.  My views are traditional, family centric, and patriotically support our nation.  I share these values with those around me and our church.  Livingston county tends to be conservative and we don't want to be combined with liberal municipalities that dilute our conservative vote. For the purpose of re-districting in the state of Michigan as the result of the 2020 census I submit the following to be considered when determining the new congressional districting. -Fair maps -Common sense approach to legislative districting -As much as possible maintain counties, cities and townships intact. -Avoid carving out sections of a distinct community and assigning those sections to adjacent districts for Congressional or state legislative purposes. -Draw district boundaries that are clearly delineated by boundaries of intact communities -Prevent small areas of a county from being incorporated into the district of another county  "
1008,written,,,Lakeshore communities,"I would like to address the special needs of the Lakeshore communities and the importance of having representation that understands those needs and will have those needs at the forefront as they consider legislation, budgets, etc. It is important that continuity of representation is maintained among these communities.  The economies of the lakeshore communities have similar needs and concerns , including harbor maintainance and dredging, marinas with pleasure craft,  charter and sport fishing. These communities have to deal with the influx of  summer visitors as a city of 10,000 can grow to 100,000 of more for an event and infrastructure, public safety,  restaurant’s, all have to be able to accommodate that influx,  and then  deal with the decline in the off season.   Its important that representation understands these dynamics and the great influence they have on the health and vibrancy of the communities on the Lakeshore. It is imperative that these needs are understood and addressed by representation. It must be in the forefront of their thinking and so that continuity of representation is vital.   Even though the lake gets much of the focus of the area, industry and manufacturing are dynamic parts of the Ottawa, Muskegon County area with many unique industries finding a home here and employees  drawn from the local labor pool.  Agriculture is also a big part of our economies with Ottawa, Muskegon and Oceana, as well as Allegan counties being huge in the farming community with their production of fruits and vegetables and nursery stock continues be a large and growing part of the economy.  The communities of these counties are tied closely historically and have a great working relationship  whether it involves tourism, manufacturing or agriculture. We have it all, so it is vital that our representation continues to be well versed in all of these areas and that we can continue the unity that we have and that we are not split apart into separate districts.   "
1009,written,,"grandville city,wyoming city",Jim Ward plan Michigan House /Wyoming,"I am a lifelong resident of Wyoming for 70 years. I have seen Wyoming grow from a township, to a city, to a diverse community becoming Kent County’s 2nd largest city. Economically balanced, it is more than a bedroom community, it’s an economic powerhouse from medical: (University of Michigan Health/Metro, industrial; Brillcast, and service: UPS and food supplier (Gordon Food Service. ) Along the way it has shared growth with Grandville MI which has grown and developed. Wyoming township viewed the development of cities in Grandville (1933) and Wyoming (1959).  We share a water/sewer system, mass transit, school placements, library services, police dispatch and churches.  This common identity recommends the combining of the City of Grandville and Wyoming into a common Michigan House district. Both cities shared a representative, Jelt Sytsema in common from 1969-1986.  Both cities have comparable city government models.  Common activities and contiguous borders make the case for a common district—we share a common identity, origins and relationships. Residents constantly cross over boundaries for jobs, recreation and cultural and leisure time activities. Jim Ward "
1010,written,,,Keep Ottawa County Intact,"Members of the Redistricting commission   I respectfully ask the commission to keep Ottawa county intact as it is as a voting district.  Ottawa County is the fastest growing county in Michigan.  There is a reason for that.  As the old adage goes, “if it ain't broke, don't fix it.”  It is obvious why people are moving here.  The lake shore is breath takingly beautiful.  Throughout the county you will find small town charm with all the amenities of the city.  The people who live here are friendly, the economy is strong, and our communities are safe.  It is a great place to raise a family.    To have fair district lines, requires fair representation.  Regrettably, West Michigan has no representation on the committee.  To ask the committee to redistrict Ottawa County without the benefit of the experience of living here, is neither fair to the county or the committee.  It is like asking a podiatrist to perform heart surgery.  Sure, the podiatrist is a doctor, but he knows nothing about heart surgery.    So again, I respectfully urge the committee to not fix what is not broken and leave Ottawa County intact."
1011,written,,,Do not use U of M redistricting plan,"I urge the Commission NOT to use the redistricting methodology advocated by the University of  Michigan.  This is a theoretical exercise which would be impossible to operationalize in ""real-life"" -- something that the people who wrote the proposal have no experience doing.  It's just another attempt to define everyone by a label and segregate them in that way rather than recognizing the importance of physical community.   Redistricting should be based on geographic considerations, not trying to meld together religions, ethnicities,  etc into ""communities of interest"".  How would that even work on a practical level, e.g. voting?  Elected officials must be able to represent the needs of physical communities which differ greatly within our state.   Sheryl Page Okemos, MI"
