,id,link,type,pseudo_coi,title,text,area_text,area_name,num_areas,city
215,1152,https://districtr.org/COI/28486,coi,,Troy's Northside community,Northside Cincinnati,"An eclectic mix that grew from German/Appalachian to African Americans in '80-the '90s.  In the '90-'20s LGBTQ affirming.  Currently, long-term self-proclaimed urban pioneers. Young family homeowners and young family renters.
A walkable community that is hilly as you head north.
Values music, art, and holiday gatherings
City bus transportation hub.  A number of bars, restaurants, and non-profit organizations.
Several parks and hiking trails.
What's missing:  Cain, a non-profit that is around food, resourcing, and those experiencing homelessness.  Save-a-lot is an abandoned store (apple st. market) that will be a mixed-income/housing development.
The Hive is missing.
Important Places-Hoffner Park, the gathering point for parades/festivals/markets/concerts/kids spaces.
History-increasingly, from 2012 to the present, a good deal of gentrification has occurred.
Main issues:  absentee landlords, organizing around industrial and corporate spaces that serve the community.  As well traffic/safety on Hamilton St.  There has been a death every 5 years on this st.
Anchors of community--the 4th of July parade and non-profits.",Northside-DH,1,Cincinnati/Hamilton
216,2438,https://districtr.org/COI/28548,coi,,AOTL-Ohio,,"A middle-class suburb. A combination of acre and a half lot. Bedroom community of Cleveland. 

Mostly white, but has a diverse population. Professional type of community, most folks commute to CLE. 

New shopping center development has recently gone. Mostly residential area. Not a lot of places of worship. Small community with few commercial activities. 

Relatively safe and well-maintained. ",Orange Village ,1,
218,2437,https://districtr.org/COI/28971,coi,,AOTL-Ohio,,"Sheila grew up in Greene but now lives 25 miles south in Warren. 

Greene: Rural farming community. 

Influx of Amish folks over the last year. 

Small farms are gone and big farmers have come in and do the work. Very strong Trump support in the area. Sleepy town with one church and no gas station. One set of crossroads. 

The school district is consolidated with three other towns, most folks commute to Youngstown or Warren. 

Township Trustees are in charge of business in Greene, with staggering terms to work with the one or two Township roads. Township Cemetery with a Cemetery Association that raises money to maintain the cemetery. 

Warren: 

Warren once had a strong downtown, but now has transitioned. The county courthouse, jail, county officers are in Warren. There's an old drive-in theater that is still operating. 

Warren used to have lots of manufacturing and the factories have since gone out of business. Folks now work for the local schools, a branch of Kent State, there is a hospital system nearby, service industry.

Civic issues: not a lot of crime. 

Packard Music Hall is a significant community gathering place. Packard Park is a community gather place. 

County services such as children services are based in Warren. Fair Haven is a school and workshop for people with disabilities. 

Cortland, Ohio is nearby with Lake Vista which is a large retirement community. 

Champion, Ohio is nearby and has Windsor House which is another retirement community. 

Mosquito Creek Lake is also nearby which lots of recreational opportunities. ","Greene and Warren, Ohio",1,
219,1262,https://districtr.org/COI/29287,coi,,Columbus Neighborhood Fifth by Northwest,Columbus Fifth by Northwest ,,Community 1,1,Columbus
220,1290,https://districtr.org/COI/29626,coi,,#Fair-Districts-OH,"Several Clark County-Springfield residents collaborated to create our community map. Our hope is provide a sense of all the positives Springfield residents and organizations have built together over the years to bring a healthy, growing, diverse, creative culture to its residents. We have also described our concerns that we have consistently worked together with our local government officials, churches, law enforcement, and many other organizations to address yet need the assistance of our state and government officials to work with us to continue to improve our community.","Springfield is the county seat of Clark County Ohio with a 2020 population of 58,105. It is the 12th largest city in Ohio. Unfortunately, our population is currently declining at a rate of -0.66% annually and the population has decreased by -4.13% since the most recent census, which recorded a population of 60,608 in 2010. The average household income in Springfield is $51,534 with a poverty rate of 23.14%. The median rental costs in recent years comes to $730 per month, and the median house value is $80,700. The median age in Springfield is 35.8 years, 34.5 years for males, and 37 years for females. A partial demographic of Springfield includes: White: 74.92%, Black or African American: 17.17%, Two or more races: 5.96%. Educationally, 40.18% of the population have attained a high school diploma while 21.96% have attained some level of higher education. Most people work in Springfield, but a large number work elsewhere. Occupations include manufacturing, retail, government, and health care. 
Evangelical Christians predominate yet there a is a large Islamic Mosque and a very active Muslim community. Although Springfield would be considered more middle of the road, more conservative than some counties that surround us, there is some level of diversity which has been accepted and relationships abound across various lines. 
Springfield has many positive attributes. Uppermost is the many Springfield residents who have deep roots in the community that go back several generations. One can go downtown for coffee, a meal, and a tour of the Heritage Center. We have an excellent library and numerous places of worship. Our heritage as a major industrial city remains evident in our historic area and in our relationship with IH/Navistar. Springfield has segments of our citizens who are passionate about making our city a more vibrant place to live. We have seen the fruits of their endeavors especially in recent years  in their efforts to revitalize our downtown with openings of retail businesses, a new hospital and many art and cultural events that bring people together and provide for both performers and audiences as well. 
Springfield has a Summer Arts Festival at the Veterans Park (which is part of National Trail Parks & Recreation District) that can boast an  annual attendance of several hundred people 5 nights/week for 4-6 weeks each summer. Other free or lost cost events include our annual CultureFest, the Farmers Market, a global education series implemented after  9/11, and an annual Pride Festival. Many parks and bike trails are available in our community that provide individuals and families opportunities for recreation, to be outdoors, and to learn about nature. 
Springfield has many citizens who are willing to look at themselves and envision ways to make things better. For example, a ""Beloved Community series"" was brought together in efforts to promote diversity, inclusion, and equity (DIA). We have a Peace Camp for kids every summer that has been in operation for 35 years (with the exception of 2020 due to Covid).   
Springfield is also extremely fortunate to have a responsive city government and city officials that recently responded with openness after the murder of George Floyd. Both the city and the county responded by forming police advisory committees. More challenging, yet eventually accomplished was the passing of a non-discrimination ordinance. 
Though Springfield is consistently addressing issues in our city, there are specific areas of ongoing concern.  There historically has been a division between the north end and the south end of Springfield and between the county and the city.  Though we believe the majority of our citizens have many positive attributes, and desire a good quality of life for all, the division between the quadrants is seen as a competition for scare resources and a disparity in growth rather than a shared planning for the common good. More resources tend to be in the northwest quadrant than the others. For example, there was a community pool which was centralized  & easily accessible to many of the citizens of Springfield. It was replaced by an upgraded water park that is much less accessible for those in the southeast and southwest quadrant. Another example of the disparity between sections of the city is the closing of a major grocery store in 2020 which was a great loss for citizens in the southwest and southeast quadrants. Many other concerns which affect the quality of life for the southeast  & southwest quadrants and thus continue to need addressed include poverty, homelessness, gun violence and crime, drugs, public education that is not equitable across the board, affordable and accessible healthcare, and an insufficient public transportation system.  Though Springfield does have many cultural and recreational opportunities, those quadrants with insufficient public transportation or lower income are unable to access these as they would want.
Recently, a zoom meeting was conducted regarding the gun violence in our city. Participants learned that our police force does not have the financial resources for body cams. 
The availability of jobs presents another significant challenge. Younger people tend to migrate to Columbus and to other large cities that provide many more opportunities for employment as well as higher salaries. Additionally, Springfield has a significant number of ex-offenders who are unable to find jobs due the ""black mark"" on their record. Increasing the availability of jobs with livable wages and job training is needed to assist these men & women in re-entering the workforce.   ",Springfield/Clark County,1,Springfield/Clark
223,2432,https://districtr.org/COI/29916,coi,,AOTL-Ohio,,"Bowling Green is the home of a state university (Bowling Green State University). It is in the middle of an agricultural region producing feed corn, wheat, and soybeans. Water comes from the Maumee River. There are several electricity windmills which are a public utility. Bowling Green was once an oil boom town in the 19th century. Bowling Green was once called the Crystal City because sugar beets were once a major crop of the region. 

Folks work for the university community, faculty come from all over the country to work at Bowling Green. A substantial number of children leave Bowling Green and go elsewhere. The school system is considered pretty good, school board arguments over consolidation of elementary schools, despite there only being one junior high and one high school. Rural folks did not want to pay higher taxes and created a rural/urban divide. 

Folks work at the university, in smaller manufacturing centers such as Cooper Tire, folks from smaller towns in Wood County commute into Bowling Green to work. Bowling Green is the county seat of Wood County with a beautiful historic court house. 

Downtown Bowling Green is a popular destination. John Kerry and John Edwards came to campaign in Bowling Green. The Downtown region has moved away from retail and more towards an entertainment district. Big box stores have moved in and detracted business away from downtown. 

The Bowling Green Parks Department is well-funded and the parks are well-maintained including a grove of old oak trees. Oldest park includes a public pool with other aquatic centers. Golf course and picnic area is also nearby. 

Lots of Protestant churches as well as a large Catholic church and parish. The Catholic church has school and there is a conservative Christian school as well. City Council passed a non-discrimination policy for employment and the Christian school came out and prevent us from hiring teachers who adhered to our mission. 

The City Council was about to pass a plastic bag ban ordinance and then the state placed a ban on banning plastic bags. Curbside recycling pickup and curbside composting are in town. 

The on-going issues with the school infrastructure, including being old and have no A/C, a concern with climate change and COVID.

 City council is working to make bike lanes more accessible and safer, city historic preservation is a priority, zoning updating is underway, drafting a resolution for a sustainability plan. 

There is no public transportation. There is ride sharing and the University has some bussing. A former Mayor took interest in partnering with the University to have a general bussing system. The University turned down the offer. 

Drunk students are the main source of crime, otherwise it is a very safe town. The local paper has suffered in recent years. A local law enforcement officer has been opposing the city's Human Right's Council over discrimination. There have been incidents of discrimination, including discrimination against Black Lives Matter initiatives. The police force has not been helpful to folks who are gender non-conforming. 

Water pollution is a concern with the Maumee River with the agricultural areas surrounding Bowling Green. Folks from Toledo have come to Bowling Green to get clean drinking water after incidents in Toledo. City Council does have a sustainability plan to curb green house gas emissions.  People are increasingly concerned with climate change and the weather. Down pours of rain this summer and the region is known as the Great Black Swamp. A lot of the agricultural communities depend on drainage with a system of tiling. 

Affordable housing is a problem. A starter home priced home is being outbid by landlords who convert them to rentals for college students.  Affordable housing development have gone up but are separate from the historic downtown, desirable areas. 

Social services: there is a very nice mental health public health agency, deals with a lot of people who would be in need of housing. Opiate crisis has existed in Bowling Green, but has not be in the news much lately.  ",Bowling Green,1,
224,2431,https://districtr.org/COI/29926,coi,,AOTL-Ohio,,"A lot of people that have grown up in Jersey Township have stayed, lots of family history in the area. The area is semi-rural with quick access to Columbus. There is a strong rural identity with farming communities including wheat farms, horse farms, and hobby farms. 

The area is under development pressure. New Albany has been expanding eastward and there is a lot of industrial development that is eating up a lot of farmland and historical family farms. There is a lot of anger and sadness around the area changing quicker. People feel disempowered about the development process. 

Because it is a township, there is a limit on zoning restrictions. New Albany is annexing lots of land and expanding and has the zoning authority and has been using it for industry. 

Jersey Township is a conservative area, so there's a lot of Trump 2020 signs still up and Trump is President signs, a lot of Christian signs that are anti-other religions. Thin blue line yard signs. 

There is a community church in historic downtown, but there are several Christian churches. The school district is Johnstown-Monroe which is not a great school district but has been improving as Johnstown is growing. 

Jersey has a golf course and a ton of auto-body part shops, a lot of horse farms. 

People commute into Columbus or other Columbus suburbs. A lot of retirees lived in the area or unemployed. 

The Township Trustees don't have a lot of power: Cemetery maintenance, roads and snow plowing, zoning issues come before the Trustees but the annexation process falls out of their power. 

Election materials were interesting, folks want Trustees to preserve historic Jersey, but the Trustees don't have power. Trustee candidate was connecting himself to Trump and things that were outside of their powers. Recycling drop-off is another issue in the township. 

There is not a lot of attention from federal or state representatives. Jersey is pulled in to a voting block with Granville which helps. Jersey is represented by Balderson. Balderson does not come around often. ",Jersey Township ,1,
225,1340,https://districtr.org/COI/29930,coi,,Sandusky Community Map,"Hoping this map helps those who find ""The Snake by the Lake"" problematic.  The greater Sandusky area definitely has features that distinguish it from other areas along the lake and the farm areas south of town--hopefully this provides a bit of context for that.  I currently don't see a lot of maps from rural areas or of the area around Erie County.  Also, I haven't lived in the area long enough to draw boundaries, only to highlight places that seem important.",Sandusky,Community 1,1,Erie
226,1367,https://districtr.org/COI/29955,coi,,Northside Cincinnati,"Northside is a bustling and changing community with a long, living history and some new gentrification and activity. From what I know, it has been demographically diverse in the past, and that is one of its assets.","Northside is a gentrifying but relatively diverse urban community with access to greenspace and strong neighborhood presence. It has a public library branch, nonprofits, and small businesses, as well as apartment and single family home housing.",Northside,1,Cincinnati
227,1346,https://districtr.org/COI/29960,coi,,OEC - Justyn B.,Springfield Township,"Township designation that is surrounded by small communities 

To access goods and services we have to travel outside the township. For example, the nearest grocery store is in Finneytown. This township doesn't have its own  school district. 

Suburban -  not always walkable

Transportation - Bus stops along Winton road.

Many areas that don't have sidewalks at busy intersections, increasing safety hazards",Springfield Township,1,Cincinnati 
228,1350,https://districtr.org/COI/29962,coi,,Claire's University of Cincinnati Map,"This map is where I believe University of Cincinnati students and other people of the community live and gather. The housing is primarily low income as most are university students or people who have just graduated. In addition to students, there is a large immigrant and BIPOC community in the surrounding communities. A few blocks past Ludlow Ave. you start to find very wealthy and primarily white communities. While students are near this community, they do not venture down there often.  ",University of Cincinnati students frequently live and move around in these communities. ,University of Cincinnati Community,1,Cincinnati
229,1355,https://districtr.org/COI/29963,coi,,OEC Montgomery,,"Bond Hill is a food desert in Cincinnati. There are no grocery stores. You have to get food from outside of the neighborhood. The closest grocery store is in Norwood or in Oakley. 

Many religious institutions in Bond Hill.

There are a few parks. There is a large golf course in the middle of Bond Hill, but it's private, so community members are not able to use it.

There's a significant divide between Norwood and Bond Hill. Norwood was a sundown town--a predominantly white neighborhood. People who live in Bond Hill do not drive into Norwood traditionally because of this history.

There is very little green space in Bond Hill other than the country club (not accessible to residents). Tree canopy isn't horrible, but it's not great. There is a park technically in Roselawn. 

There's a bus line that runs through Bus Hill along Reading Road. 

People who live in Bond Hill have lived there for generations. A lot of older homeowners. There's a lot of blight in the community, though--shopping center and church that is no longer there. 

Bond Hill is in the center of Cincinnati, making the rest of the city fairly accessible. 

Churches are a pillar of the community--Tristone, Allen Temple. There's also a public library.

The community experiences a higher rate of infant mortality--not as high as some communities, but higher than the average. Likely high rates of asthma and diabetes. 

Bond Hill School has an attached recreation center.

Moderately high rate of impervious services, so increased flood risk.

The community has a strong political organizing culture. It has a very active community council. It's Ward 7. 

Bond Hill wants a representative that can tap into the community's values and interests. The health disparities are key issues. Gentrification is occurring, raising housing prices for people who are from the community. 

Roselawn and Bond Hill are often linked for funding regarding health disparities. ",Bond Hill in Cincinnati,1,Montgomery
230,1353,https://districtr.org/COI/29969,coi,,Fair Districts = Fair Representation ,This is Mt. Washington - the easternmost Cincinnati neighborhood - a diverse and close knit comfortable place to live. ,"Mt. Washington - most Eastern Cincinnati neighborhood separated by the Little Miami River from the rest of the city. Self contained with a post office, park, schools, grocery, bus lines all within walkable distance to homes. Diverse racial makeup and diverse housing stock. ",Mt. Washington,1,Cincinnati 
231,1352,https://districtr.org/COI/29973,coi,,Mt Auburn area,"I recently moved to the west side of the Mt Auburn neighborhood, which is a geographically segregated sliver between Vine Street on the west and Cincinnati Children's Hospital on the east. I included part of the brewery district in Over the Rhine (to the south) and part of Clifton Heights (to the north and northwest) since those are extensions of the immediate area that I frequent.","I recently moved to the west side of the Mt Auburn neighborhood, which is a geographically segregated sliver between Vine Street on the west and Cincinnati Children's Hospital on the east. I included part of the brewery district in Over the Rhine and part of Clifton Heights since those are extensions of the immediate area that I frequent.",Mount Auburn Area,1,Cincinnati
232,1357,https://districtr.org/COI/29997,coi,,Amy's Hyde Park/Oakley Map,,"Key institutions: Coffee Emporium, Churches (St. Mary's, etc.), Hyde Park Square, Ault Park, Restaurants, Art Galleries, Rec Center in East Hyde Park, Carl's deli, HP Elementary, Park Montessori, Summit Country Day School, Springer School, 2 grocery stores in Plaza, Firehouse.
Dutch's (former landmark)
Upscale retail went away
Not a lot that ties the community together, lack of community sensibility
Concerns about overdevelopment and impact of tax abatements on ""teardown culture""
Drainage (houses flooding regularly)
Neighborhood is somewhat diverse
Not a lot of people-to-people relationships in the community",Hyde Park/Oakley,1,Cincinnati
233,1359,https://districtr.org/COI/30006,coi,,Jeanne's Avondale/No Avondale/So map,,"Avondale/North Avondale/South Avondale

Key Businesses and Institutions: Xavier University, private and public elementary schools, Cincinnati  Zoo, churches, Children's Hospital
What is missing: Large Grocery store, shopping district. Good size park. 
Key Issue: Bordered by Norwood and St. Bernard which are not part of the city of Cincinnati
Parts of neighborhood are very diverse where other parts are not diverse. North Avondale has a very strong neighborhood council. Not sure about other parts of the community. 
I do most of my shopping in other neighborhoods and go to other areas to eat out or for entertainment. ",Community 1,1,Cincinnati
234,1962,https://districtr.org/COI/32393,coi,,Crouse Elementary Community ,Community in the Westside of Akron,"Predominately African-American community. 

Lacks access to full grocery stores & hospitals. 

Income level - majority under the poverty line. ",Westside of Akron - Crouse School District,1,Akron
236,2197,https://districtr.org/COI/33102,coi,,Westerville Book Group Map,"We are a book group in Westerville Ohio that has been in existence since 2008 and started as part of the Sustainable Westerville community group taking Northwest Earth Institute discussion courses.  We are currently all 65+, white, college educated females with a progressive leaning.  Our book group has evolved over the years to discuss books on social and racial justice, as well as environmental sustainability. Six of the current approximately 10 active members contributed to this map. This map covers the area where current and past members of our book group and friends have lived, and locations group members have utilized frequently. ","This area shows what our book group members feel is their Community.  It includes most of the City of Westerville, the southern part of Genoa Township, Huber Ridge, and the Kroger shopping plaza on Sunbury Road.

Our book group has been in existence since 2008 and started as part of the Sustainable Westerville community group taking Northwest Earth Institute discussion courses.  We are currently all 65+, white, college educated women with a progressive leaning.  Our book group has evolved over the years to discuss books on social and racial justice, as well as environmental sustainability. 

Our community is largely the city of Westerville.  Established before the Civil War, (about the same time as Otterbein University), was mostly white, heterosexual, and of  Christian faith. There are many churches in Westerville.  Westerville was a stop on the underground railroad,  a leading force in the prohibition movement with the WCTU. Still today is mostly white, middle to upper middle class but a growing diversity in faith, race, income, and sexual orientation. Still a high value on Public/higher education.  

There is strong support for the police in the Westerville community and the people in our group feel very safe in the neighborhood but acknowledge that those of other races may not feel that way.

Westerville provides excellent recreational facilities, city parks, walking and biking trails, sports fields, and recreation center and Senior Center.  Participation in team sports is strongly encouraged in youth.

We value the walkability of Westerville, and the parks and natural areas.  

Freeways are close by making it an easy commute to downtown and the suburbs.  Other than the south of Westerville, it lacks diversity.  

Genoa Township is a mixed bag of rural areas and housing developments without a central area, so Uptown Westerville and Maxtown Road shopping fills that gap.

Huber Ridge is home to present and former members of the book group and friends and part of our Community.

The issues that need attention from officials include growth and rapid development that is paving over the green spaces we value, lack of sustainability planning, affordable housing, leadership in diversity and social justice, social services, and transportation within the city.  There is poverty and food insecurity.  Need to be more welcoming to people of color and LGBTQ folks.

",Westerville Community,1,Westerville
237,2217,https://districtr.org/COI/33151,coi,,OOC.AB.COMM,"A map of the eastside of Youngstown, OH where I grew up","1 High school(East High School)
1 elementary school(Youngstown Academy of Excellence, which isn't apart of the Youngstown City School system)
1 Grocery Store(borders Campbell on McCartney) 
The McGuffey Mall is no longer a shopping center
1 park, which is John White park
1 corner store in walking distance from my house","Eastside, Youngstown",1,Columbus
238,2223,https://districtr.org/COI/33157,coi,,OOC.AB.COMM,"An overview of the Northside of Youngstown, from my childhood","2-elementary schools(Harding Elementary, Martin Luther King Elementary)
1(Old school building, was a highschool, it is now closed)
2 Hospitals(St. Elizabeth/Northside Medical Center)
1 Grocery store
Multiple Parks-Crandall Park, Wick Park","Northisde, Youngstown",1,Columbus
239,2646,https://districtr.org/COI/33197,coi,,OWA - Mansfield Ward 1E,Ward 1E in Mansfield is often confused with it's neighboring Lexington.  Some people in this area don't vote in Mansfield City elections.,"My community is majority white older population. There is a senior living center, restaurants, shopping, parks, and quiet residential neighborhoods. The community is Mansfield city, but Lexington school district, and many voters do not even know they live in the city of Mansfield so they don't vote in the city elections. ",Mansfield Ward 1E,1,Mansfield
240,2647, https://districtr.org/COI/33203,coi,,OWA - South Side Mansfield,South Side of Mansfield Ohio,"Vast majority white, older, most single family homes or condos, few apartment complexes.  Senior living and assisted living complexes.  Mostly residential.  We do have a few locally owned businesses and restaurants.  Mansfield City School district.",Southside Mansfield,1,Mansfield
241,2648,https://districtr.org/COI/33206,coi,,OWA - Lexington Area,Lexington is a suburb of Mansfield and Ontario. ,A small bedroom community with a predominantly white population.  No grocery store in this community. ,The Village of Lexington,1,Mansfield
243,2626,https://districtr.org/COI/34760,coi,,Sustainable Westerville Community,"This map was created by eight members of Sustainable Westerville, and encompasses the Greater Westerville Area which is approximately the Westerville City School District.  Sustainable Westerville is a group of local citizens who are interested in working together on initiatives that improve the spaces in which we live, work, learn, and play.  We advocate for the three legs of sustainability: social, economic, and environmental.  Find us at sustainablewesterville.org and @sustainablewesterville on Instagram and Facebook.","This is the approximate area of Westerville City School District.  This is the area that Sustainable Westerville considers their community.
We share many things including the Westerville Library.  What brings people together is the schools.  Many students in the southern portion do not identify with the Uptown and Uptown events such as 4th Friday.   There is  considerable diversity in SES (socioeconomic status).  Higher income in northern areas.  Many  churches and places of worship.

Policy Concerns: Affordable housing (truly affordable). Representation of all constituents in this area.  Equity.  Sustainability.  Diversity. Inclusion.  Access to resources and facilities, programming.  Not a lot of diversity in Uptown.  Officials need to listen to students. Policing.   Physical barriers to green space such as highways.  Bike trails under highways don't feel safe and get flooded.   Access to grocery stores below Rt. 270 in southwest corner.  Food insecurity.  Public transportation issues - maintaining bike paths.

What we love about our community - diversity is improving.  Can see the past - still have a few old barns (Everal Barn). Parks are dotted throughout - Inniswood, City Parks, Hoover.  Best of small town. 
 Outdoor recreation, bike trails.  School district.  Easy access to health care and necessary services.  Restaurants.  (But a question is:  does everyone in our community feel these things are accessible to them.)

Re: Council Manager system: 
On on January 1, 1916, Westerville became the first village in Ohio to adopt a Council Manager form of government. following a July 31, 1915 poll in which Westerville voters decisively voted by a nearly two to one margin in favor of such.


Re: City Charter: (from the City's web page)
In 1964, Westerville Residents adopted a Home Rule Charter, which gives the municipal government greater local control and flexibility than the statutory form. Ohio statute governs only on matters which Westerville’s Charter does not address.
",Westerville City School District,1,Westerville/Franklin
246,2638,https://districtr.org/COI/35056,coi,,Single Mothers,SIngle mothers of the Motherful Collective ,Single mothers in Central Ohio,Single Moms in Central Ohio,1,COLUMBUS
248,2641,https://districtr.org/COI/35072,coi,,OWA Te B. community map,,Child's home school,Ella's school,1,"Columbus, Franklin"
250,2645,https://districtr.org/COI/35080,coi,,Yvette Williams,This is where i been living for 4 years.,My home,Fairgate,1,Columbus
251,2642,https://districtr.org/COI/35081,coi,,Home Community,,,My current neighborhood,1,Reynoldsburg
252,2644,https://districtr.org/COI/35086,coi,,OWA-Nyshia gentry,Southside community ,,Community 1,1,Columbus
253,2650,https://districtr.org/COI/35154,coi,,CAIR-Ohio-Oakley-Ismaeel,"Oakley is nestled between the Hyde Park, Norwood and Madisonville neighborhoods in Cincinnati with easy access to I71. It is popular with young to mid-career professionals. Not a ton of diversity. Property and rental costs are rising with lots of new development. We are currently included in the 2nd congressional district with other counties and communities to the east which we have little in common with. ","Oakley is nestled between the Hyde Park, Norwood and Madisonville neighborhoods in Cincinnati with easy access to I71. It is popular with young to mid-career professionals. Not a ton of diversity. Property and rental costs are rising with lots of new development. We are currently included in the 2nd congressional district with other counties and communities to the east which we have little in common with. ",CAIR-Ohio-Oakley-Ismaeel,1,Cincinnati/Hamilton
254,404,https://districtr.org/coi/9105,coi,,Athens Small Collegetown,,,Athens Small Collegetown,1,
256,451,https://districtr.org/coi/9342,coi,,Hopewell ,,,Hopewell ,1,
257,453,https://districtr.org/coi/9347,coi,,Medina,,,Community 1,1,
258,458,https://districtr.org/coi/9353,coi,,OH 747,,"Lining 747 are restaurants (some chain but mostly family-run), fitness facilities, and child-focused biz. West of 747 has a high concentration of Asian families. South of Smith Rd/ West of 747 has Asian, Black & Middle Eastern families and mostly condo/luxury apt communities. East of 747 maintains racial diversity, a higher % of white, and is mostly condo/lux apts. Low crime area, desirable diversity at Elem School - which has outdoor sports park which community enjoys. ",Point 1,1,
259,459,https://districtr.org/coi/9357,coi,,Lakeside Dr,,"In recent years has become highly populated by Hispanic and Middle Eastern families (adding to the existing Black families) in the condo/apts on eastern 2/3. Very interesting it is it's own ""block"" since it has a high Immigrant community and ICE has targeted the area. Close to fast-food chains, gas stations, automotive repair & sales, grocery. The diversity has gifted the area with a few family-owned ethnic shops and eateries. ",Community 2,1,
260,465,https://districtr.org/coi/9440,coi,,Chateau Hough,https://districtr.org/coi/9440,"The most dynamic under realized part of the city, based on its location and history.
Site of the Hough Uprising and the Negro League Baseball Stadium. Great places like Chateau Hough, Davis Supermarket (another Cleveland gem), perfect centralized location to all three sports stadiums and one of the best hospitals in the world. ",Community 1,1,
261,502,https://districtr.org/coi/9887,coi,,College Hill,,,College Hill,1,
262,519,https://districtr.org/coi/9993,coi,,College Hill,,,College Hill,1,
263,2649,,written,,"Fairlawn, OH","To whom it may concern,  We were redistricted to Marsha Fudges district through gerrymandering to tie East Cleveland and South Akron during the last redistricting.  The thin corridor that ties the 2 areas together runs down I 77 through various middle class and wealthy areas that do not have anything in common to the areas connected by the gerrymandering that took place.  The people of this thin corridor have been effectively unrepresented in Congress for the past 10 years.  According to what I have researched this is a blatant violation of the Constitution and needs to be corrected during the current process.  Sincerely   Scott Pavlik",,,,Fairlawn / Summit
264,1698,,written,,The need for fair districts in Ohio,"While I attended the OCRC zoom meeting on July 22nd, I still felt the need to voice my support for fair districts in Ohio. Each individual who spoke during the OCRC session spoke very eloquently and succinctly about the concerns with the current maps as they are. Dr. Vanessa Enoch especially spoke to how gerrymandering has affected my district as she put forth a great deal of time, money, and effort to win, yet due to the gerrymandered district, still lost.  I live in Clark County/Springfield. If I was not as involved as I am in local and national politics, it would be very tempting to just step away and not attempt to meet with or contact my US Congressperson or my legislator at the Ohio level.  I have attended 2 Town Hall meetings with my US Congressperson and left both at the end feeling very frustrated, unheard, and unrepresented. At one of them, he looked at his cell phone much of the time and did not seem interested in opening any dialogue to hear the individuals' concern. For instance, a friend of mine voiced her concern that her son would be turning 26 soon and would lose his health insurance. His reply was simply that her son needed to find a job where they have health insurance.  End of discussion. During his other Town Hall, we were only permitted to place our questions in a bowl and they would choose the question. While I can appreciate a desire for order, this definitely leans the questions in the direction he and his team desire. I have stopped attending his Town Halls as they seemed useless to have my voice heard. II have attended his phone Town Halls yet felt as unheard as in person have been by phone. The attendee is required to talk with his staff beforehand and then the question is chosen for the Congressperson. Before he even takes questions though, he talks at length about 'his' beliefs about the state of affairs in the US, and since he is one of the Congress people that questioned the vote in November, much of his beliefs are not in line with my beliefs or my friends and some of what he says or writes is untrue. This Congressperson has been very open that he is a Libertarian, very conservative, and a strong gun proponent; everything I, and my circle of friends and family, are not. While I do not expect my representatives to be in alignment with every belief I have about the running of our state and country, it is very discouraging to know that none of my requests are even taken seriously. And that untruths are spoken and written to his constituents. My other representative at the state level also has opposite beliefs than my circle of friends and family. He is a strong gun proponent and has been a part of the 'Stand Your Ground' legislation that was passed recently which is the exact opposite of what our state and country needs. Many polls indicate a majority of Americans would like to see sensible gun control measures.  These are but a few of the examples of the ways I feel our representatives certainly do not have my ear or my concerns about our state and country. I realize that the maps may be drawn fairly and there will still be legislators who do not see my world the way I do yet at least it will be clear the decision made was based on the majority of people in that district rather than a district that was drawn to get that politician elected. ",,,,Springfield/Clark
